4,04079e+1 6,47932e-2
4,34388e+1 7,68712e-2
4,68084e+1 8,88351e-2
5,03421e+1 9,97217e-2
5,39652e+1 1,09283e-1
5,80840e+1 1,18837e-1
6,24689e+1 1,27986e-1
6,70165e+1 1,35755e-1
7,17920e+1 1,42438e-1
7,71595e+1 1,51248e-1
8,54161e+1 1,59522e-1
9,16341e+1 1,64839e-1
9,83048e+1 1,68656e-1
1,05461e+2 1,71542e-1
1,13138e+2 1,74052e-1
1,21375e+2 1,76379e-1
1,30210e+2 1,78048e-1
1,39689e+2 1,79445e-1
1,49858e+2 1,80983e-1
1,60767e+2 1,82648e-1
1,72471e+2 1,84605e-1
1,85026e+2 1,86484e-1
1,98495e+2 1,88451e-1
2,12945e+2 1,90534e-1
2,28447e+2 1,92569e-1
2,44098e+2 1,94143e-1
2,62918e+2 1,94467e-1
2,82058e+2 1,93006e-1
3,03805e+2 1,95396e-1
3,28543e+2 1,93896e-1
3,51051e+2 1,92730e-1
3,79636e+2 1,94412e-1
4,07272e+2 1,93569e-1
4,37230e+2 1,93357e-1
4,70631e+2 1,93357e-1
5,06584e+2 1,93357e-1
5,44372e+2 1,93357e-1
5,84978e+2 1,93357e-1
6,29666e+2 1,93357e-1
6,77768e+2 1,93357e-1
7,27108e+2 1,93357e-1
8,43237e+2 1,92364e-1
9,02659e+2 1,92364e-1
9,72812e+2 1,93357e-1
1,04713e+3 1,93357e-1
1,12712e+3 1,93357e-1
1,20917e+3 1,93357e-1
1,30154e+3 1,93357e-1
1,40097e+3 1,93357e-1
1,50548e+3 1,93357e-1
1,61777e+3 1,93357e-1
1,74136e+3 1,93357e-1
1,87439e+3 1,93357e-1
2,01420e+3 1,93357e-1
2,16445e+3 1,93357e-1
2,32980e+3 1,93357e-1
2,50778e+3 1,93357e-1
2,69034e+3 1,93357e-1
2,89586e+3 1,93357e-1
3,11708e+3 1,93357e-1
3,34960e+3 1,93357e-1
3,59946e+3 1,93357e-1
3,87443e+3 1,93357e-1
4,16343e+3 1,93357e-1
4,47400e+3 1,93357e-1
4,81578e+3 1,93357e-1
5,18367e+3 1,93357e-1
5,57034e+3 1,93357e-1
5,98585e+3 1,93357e-1
6,44313e+3 1,93357e-1
6,85622e+3 1,93377e-1
