# Standard Model thermodynamics at O(g^4) [1503.04935]                                                    
#   Disclaimer: We do not recommend taking numerical derivatives from any of the functions, but rather    
#   directly using the derivative functions listed.  Theoretical errors are on the ~ 1% level.            
# Update Dec 2019                                    
#   The decoupling of neutrinos at T < 2 MeV has been incorporated into the results.                      
# Columns:                                           
    T[MeV]    p/T^4    e/T^4    s/T^3    c/T^3    w=p/e    c_s^2    g_eff    h_eff    i_eff
    0.29000000E+00    0.89784532E+00    0.28957094E+01    0.39082417E+01    0.13038433E+02    0.31006057E+00    0.29974780E+00    0.88019011E+01    0.89097226E+01    0.99080210E+01
    0.30000000E+00    0.91132355E+00    0.29313270E+01    0.39518755E+01    0.13116100E+02    0.31089113E+00    0.30129957E+00    0.89101655E+01    0.90091957E+01    0.99670412E+01
    0.40000000E+00    0.10082966E+01    0.31750020E+01    0.42522739E+01    0.13597809E+02    0.31757353E+00    0.31271757E+00    0.96508487E+01    0.96940220E+01    0.10333096E+02
    0.50000000E+00    0.10626682E+01    0.33013587E+01    0.44100589E+01    0.13814853E+02    0.32188815E+00    0.31922591E+00    0.10034927E+02    0.10053729E+02    0.10498029E+02
    0.60000000E+00    0.10955294E+01    0.33737499E+01    0.45014679E+01    0.13929573E+02    0.32472158E+00    0.32315908E+00    0.10254970E+02    0.10262116E+02    0.10585206E+02
    0.70000000E+00    0.11167032E+01    0.34186423E+01    0.45586686E+01    0.13997303E+02    0.32665108E+00    0.32568193E+00    0.10391426E+02    0.10392518E+02    0.10636675E+02
    0.80000000E+00    0.11310711E+01    0.34482509E+01    0.45966698E+01    0.14040585E+02    0.32801298E+00    0.32738449E+00    0.10481426E+02    0.10479151E+02    0.10669566E+02
    0.90000000E+00    0.11412367E+01    0.34687494E+01    0.46231328E+01    0.14069921E+02    0.32900524E+00    0.32858270E+00    0.10543734E+02    0.10539479E+02    0.10691858E+02
    0.10000000E+01    0.11486789E+01    0.34835027E+01    0.46422698E+01    0.14090726E+02    0.32974823E+00    0.32945570E+00    0.10588579E+02    0.10583106E+02    0.10707667E+02
    0.11000000E+01    0.11542834E+01    0.34944629E+01    0.46565423E+01    0.14106018E+02    0.33031782E+00    0.33011034E+00    0.10621893E+02    0.10615644E+02    0.10719288E+02
    0.12000000E+01    0.11586053E+01    0.35028218E+01    0.46674629E+01    0.14117589E+02    0.33076341E+00    0.33061330E+00    0.10647301E+02    0.10640539E+02    0.10728082E+02
    0.13000000E+01    0.11620059E+01    0.35093392E+01    0.46760009E+01    0.14126559E+02    0.33111817E+00    0.33100778E+00    0.10667112E+02    0.10660004E+02    0.10734897E+02
    0.14000000E+01    0.11647285E+01    0.35145172E+01    0.46828001E+01    0.14133653E+02    0.33140498E+00    0.33132271E+00    0.10682851E+02    0.10675504E+02    0.10740288E+02
    0.15000000E+01    0.11669412E+01    0.35186985E+01    0.46883012E+01    0.14139361E+02    0.33164000E+00    0.33157802E+00    0.10695561E+02    0.10688045E+02    0.10744626E+02
    0.16000000E+01    0.11687633E+01    0.35221227E+01    0.46928142E+01    0.14144022E+02    0.33183490E+00    0.33178781E+00    0.10705969E+02    0.10698333E+02    0.10748168E+02
    0.17000000E+01    0.11702812E+01    0.35249620E+01    0.46965616E+01    0.14147879E+02    0.33199826E+00    0.33196225E+00    0.10714600E+02    0.10706877E+02    0.10751099E+02
