# Standard Model thermodynamics at O(g^4) [1503.04935]                                                    
#   Disclaimer: We do not recommend taking numerical derivatives from any of the functions, but rather    
#   directly using the derivative functions listed.  Theoretical errors are on the ~ 1% level.            
# Update Dec 2019                                    
#   The decoupling of neutrinos at T < 2 MeV has been incorporated into the results.                      
# Columns:                                           
    T[MeV]    p/T^4    e/T^4    s/T^3    c/T^3    w=p/e    c_s^2    g_eff    h_eff    i_eff
    0.34974685E+05    0.97364273E+01    0.30122394E+02    0.39858821E+02    0.12413827E+03    0.32322887E+00    0.32108408E+00    0.91561098E+02    0.90867216E+02    0.94333771E+02
    0.36608805E+05    0.97790608E+01    0.30291052E+02    0.40070113E+02    0.12489842E+03    0.32283662E+00    0.32082163E+00    0.92073757E+02    0.91348903E+02    0.94911415E+02
    0.38319940E+05    0.98235312E+01    0.30463345E+02    0.40286876E+02    0.12565798E+03    0.32247054E+00    0.32060739E+00    0.92597464E+02    0.91843064E+02    0.95488612E+02
    0.40111717E+05    0.98697434E+01    0.30638554E+02    0.40508298E+02    0.12641301E+03    0.32213476E+00    0.32044406E+00    0.93130038E+02    0.92347845E+02    0.96062367E+02
    0.41987938E+05    0.99175827E+01    0.30815921E+02    0.40733504E+02    0.12715971E+03    0.32183307E+00    0.32033341E+00    0.93669169E+02    0.92861254E+02    0.96629793E+02
    0.43952583E+05    0.99669159E+01    0.30994658E+02    0.40961574E+02    0.12789452E+03    0.32156883E+00    0.32027623E+00    0.94212462E+02    0.93381190E+02    0.97188179E+02
    0.46009819E+05    0.10017593E+02    0.31173963E+02    0.41191556E+02    0.12861415E+03    0.32134486E+00    0.32027234E+00    0.94757484E+02    0.93905486E+02    0.97735038E+02
    0.48164009E+05    0.10069448E+02    0.31353041E+02    0.41422488E+02    0.12931571E+03    0.32116336E+00    0.32032062E+00    0.95301815E+02    0.94431950E+02    0.98268155E+02
    0.50419723E+05    0.10122303E+02    0.31531113E+02    0.41653416E+02    0.12999665E+03    0.32102587E+00    0.32041916E+00    0.95843091E+02    0.94958402E+02    0.98785605E+02
    0.52781746E+05    0.10175971E+02    0.31707436E+02    0.41883407E+02    0.13065488E+03    0.32093326E+00    0.32056518E+00    0.96379048E+02    0.95482718E+02    0.99285806E+02
    0.55255087E+05    0.10230256E+02    0.31881309E+02    0.42111565E+02    0.13128870E+03    0.32088569E+00    0.32075545E+00    0.96907559E+02    0.96002856E+02    0.99767446E+02
    0.57844994E+05    0.10284960E+02    0.32052088E+02    0.42337048E+02    0.13189686E+03    0.32088267E+00    0.32098602E+00    0.97426665E+02    0.96516896E+02    0.10022959E+03
    0.60556959E+05    0.10339883E+02    0.32219192E+02    0.42559075E+02    0.13247848E+03    0.32092309E+00    0.32125273E+00    0.97934601E+02    0.97023057E+02    0.10067158E+03
    0.63396734E+05    0.10394827E+02    0.32382111E+02    0.42776938E+02    0.13303312E+03    0.32100525E+00    0.32155104E+00    0.98429813E+02    0.97519725E+02    0.10109305E+03
    0.66370345E+05    0.10449602E+02    0.32540403E+02    0.42990004E+02    0.13356051E+03    0.32112699E+00    0.32187660E+00    0.98910964E+02    0.98005458E+02    0.10149382E+03
    0.69484097E+05    0.10504020E+02    0.32693707E+02    0.43197727E+02    0.13406115E+03    0.32128567E+00    0.32222406E+00    0.99376954E+02    0.98479009E+02    0.10187426E+03
    0.72744596E+05    0.10557907E+02    0.32841734E+02    0.43399641E+02    0.13453495E+03    0.32147837E+00    0.32259008E+00    0.99826900E+02    0.98939318E+02    0.10223430E+03
    0.76158758E+05    0.10611100E+02    0.32984262E+02    0.43595362E+02    0.13498309E+03    0.32170191E+00    0.32296906E+00    0.10026013E+03    0.99385508E+02    0.10257485E+03
    0.79733823E+05    0.10663448E+02    0.33121147E+02    0.43784595E+02    0.13540612E+03    0.32195286E+00    0.32335757E+00    0.10067621E+03    0.99816907E+02    0.10289631E+03
    0.83477377E+05    0.10714815E+02    0.33252304E+02    0.43967119E+02    0.13580522E+03    0.32222774E+00    0.32375131E+00    0.10107488E+03    0.10023301E+03    0.10319959E+03
    0.87397359E+05    0.10765080E+02    0.33377709E+02    0.44142789E+02    0.13618143E+03    0.32252303E+00    0.32414691E+00    0.10145607E+03    0.10063349E+03    0.10348548E+03
    0.91502084E+05    0.10814138E+02    0.33497393E+02    0.44311531E+02    0.13653605E+03    0.32283521E+00    0.32454090E+00    0.10181987E+03    0.10101818E+03    0.10375495E+03
    0.95800259E+05    0.10861900E+02    0.33611436E+02    0.44473337E+02    0.13687037E+03    0.32316085E+00    0.32493034E+00    0.10216652E+03    0.10138705E+03    0.10400901E+03
    0.10030100E+06    0.10908293E+02    0.33719961E+02    0.44628254E+02    0.13718576E+03    0.32349661E+00    0.32531258E+00    0.10249639E+03    0.10174022E+03    0.10424868E+03
    0.10501385E+06    0.10953259E+02    0.33823129E+02    0.44776388E+02    0.13748368E+03    0.32383932E+00    0.32568512E+00    0.10280998E+03    0.10207792E+03    0.10447507E+03
    0.10994882E+06    0.10996755E+02    0.33921134E+02    0.44917889E+02    0.13776551E+03    0.32418595E+00    0.32604597E+00    0.10310788E+03    0.10240051E+03    0.10468923E+03
    0.12533333E+06    0.11090214E+02    0.34035250E+02    0.45125464E+02    0.13810120E+03    0.32584495E+00    0.32675650E+00    0.10345475E+03    0.10287372E+03    0.10494433E+03
    0.12566667E+06    0.11092244E+02    0.34040451E+02    0.45132695E+02    0.13811825E+03    0.32585479E+00    0.32676852E+00    0.10347056E+03    0.10289021E+03    0.10495728E+03
    0.12600000E+06    0.11094266E+02    0.34045629E+02    0.45139895E+02    0.13813526E+03    0.32586462E+00    0.32678038E+00    0.10348630E+03    0.10290662E+03    0.10497021E+03
    0.12633333E+06    0.11096280E+02    0.34050783E+02    0.45147063E+02    0.13815211E+03    0.32587445E+00    0.32679242E+00    0.10350197E+03    0.10292296E+03    0.10498302E+03
    0.12666667E+06    0.11098287E+02    0.34055914E+02    0.45154200E+02    0.13816894E+03    0.32588427E+00    0.32680426E+00    0.10351756E+03    0.10293923E+03    0.10499581E+03
    0.12700000E+06    0.11100286E+02    0.34061021E+02    0.45161307E+02    0.13818577E+03    0.32589409E+00    0.32681591E+00    0.10353309E+03    0.10295543E+03    0.10500859E+03
    0.12733333E+06    0.11102277E+02    0.34066106E+02    0.45168383E+02    0.13820241E+03    0.32590391E+00    0.32682776E+00    0.10354855E+03    0.10297157E+03    0.10502124E+03
    0.12766667E+06    0.11104261E+02    0.34071168E+02    0.45175429E+02    0.13821905E+03    0.32591371E+00    0.32683939E+00    0.10356393E+03    0.10298763E+03    0.10503388E+03
    0.12800000E+06    0.11106237E+02    0.34076207E+02    0.45182445E+02    0.13823569E+03    0.32592351E+00    0.32685079E+00    0.10357925E+03    0.10300362E+03    0.10504653E+03
    0.12833333E+06    0.11108206E+02    0.34081224E+02    0.45189431E+02    0.13825215E+03    0.32593331E+00    0.32686241E+00    0.10359450E+03    0.10301955E+03    0.10505904E+03
    0.12866667E+06    0.11110168E+02    0.34086219E+02    0.45196387E+02    0.13826861E+03    0.32594309E+00    0.32687380E+00    0.10360968E+03    0.10303541E+03    0.10507155E+03
    0.12900000E+06    0.11112122E+02    0.34091192E+02    0.45203314E+02    0.13828508E+03    0.32595287E+00    0.32688496E+00    0.10362480E+03    0.10305120E+03    0.10508406E+03
    0.12933333E+06    0.11114069E+02    0.34096143E+02    0.45210212E+02    0.13830138E+03    0.32596263E+00    0.32689633E+00    0.10363985E+03    0.10306692E+03    0.10509644E+03
    0.12966667E+06    0.11116008E+02    0.34101073E+02    0.45217081E+02    0.13831767E+03    0.32597239E+00    0.32690748E+00    0.10365483E+03    0.10308258E+03    0.10510883E+03
    0.13000000E+06    0.11117940E+02    0.34105981E+02    0.45223921E+02    0.13833397E+03    0.32598213E+00    0.32691841E+00    0.10366975E+03    0.10309818E+03    0.10512121E+03
    0.13033333E+06    0.11119865E+02    0.34110868E+02    0.45230733E+02    0.13835009E+03    0.32599187E+00    0.32692956E+00    0.10368460E+03    0.10311371E+03    0.10513346E+03
    0.13066667E+06    0.11121783E+02    0.34115733E+02    0.45237517E+02    0.13836623E+03    0.32600159E+00    0.32694045E+00    0.10369939E+03    0.10312917E+03    0.10514572E+03
    0.13100000E+06    0.11123694E+02    0.34120578E+02    0.45244272E+02    0.13838240E+03    0.32601129E+00    0.32695107E+00    0.10371412E+03    0.10314457E+03    0.10515801E+03
    0.13133333E+06    0.11125597E+02    0.34125403E+02    0.45251000E+02    0.13839838E+03    0.32602098E+00    0.32696192E+00    0.10372879E+03    0.10315991E+03    0.10517016E+03
    0.13166667E+06    0.11127494E+02    0.34130207E+02    0.45257701E+02    0.13841439E+03    0.32603066E+00    0.32697251E+00    0.10374339E+03    0.10317519E+03    0.10518233E+03
    0.13200000E+06    0.11129383E+02    0.34134991E+02    0.45264374E+02    0.13843043E+03    0.32604032E+00    0.32698282E+00    0.10375793E+03    0.10319040E+03    0.10519452E+03
    0.13233333E+06    0.11131266E+02    0.34139755E+02    0.45271020E+02    0.13844629E+03    0.32604997E+00    0.32699338E+00    0.10377241E+03    0.10320555E+03    0.10520657E+03
    0.13266667E+06    0.11133141E+02    0.34144499E+02    0.45277640E+02    0.13846218E+03    0.32605960E+00    0.32700365E+00    0.10378683E+03    0.10322064E+03    0.10521864E+03
    0.13300000E+06    0.11135010E+02    0.34149223E+02    0.45284233E+02    0.13847811E+03    0.32606920E+00    0.32701365E+00    0.10380119E+03    0.10323567E+03    0.10523075E+03
    0.13333333E+06    0.11136872E+02    0.34153928E+02    0.45290800E+02    0.13849386E+03    0.32607879E+00    0.32702389E+00    0.10381549E+03    0.10325064E+03    0.10524271E+03
    0.13366667E+06    0.11138727E+02    0.34158614E+02    0.45297340E+02    0.13850965E+03    0.32608837E+00    0.32703383E+00    0.10382974E+03    0.10326555E+03    0.10525471E+03
    0.13400000E+06    0.11140575E+02    0.34163281E+02    0.45303855E+02    0.13852549E+03    0.32609791E+00    0.32704347E+00    0.10384392E+03    0.10328041E+03    0.10526675E+03
    0.13433333E+06    0.11142416E+02    0.34167929E+02    0.45310345E+02    0.13854113E+03    0.32610744E+00    0.32705337E+00    0.10385805E+03    0.10329520E+03    0.10527864E+03
    0.13466667E+06    0.11144250E+02    0.34172558E+02    0.45316809E+02    0.13855684E+03    0.32611695E+00    0.32706295E+00    0.10387212E+03    0.10330994E+03    0.10529057E+03
    0.13500000E+06    0.11146078E+02    0.34177170E+02    0.45323248E+02    0.13857261E+03    0.32612643E+00    0.32707221E+00    0.10388614E+03    0.10332462E+03    0.10530255E+03
    0.13533333E+06    0.11147900E+02    0.34181763E+02    0.45329662E+02    0.13858817E+03    0.32613589E+00    0.32708175E+00    0.10390010E+03    0.10333924E+03    0.10531438E+03
    0.13566667E+06    0.11149714E+02    0.34186338E+02    0.45336052E+02    0.13860382E+03    0.32614532E+00    0.32709094E+00    0.10391401E+03    0.10335381E+03    0.10532627E+03
    0.13600000E+06    0.11151522E+02    0.34190895E+02    0.45342418E+02    0.13861953E+03    0.32615473E+00    0.32709977E+00    0.10392786E+03    0.10336832E+03    0.10533821E+03
    0.13633333E+06    0.11153324E+02    0.34195436E+02    0.45348759E+02    0.13863504E+03    0.32616410E+00    0.32710893E+00    0.10394166E+03    0.10338277E+03    0.10535000E+03
    0.13666667E+06    0.11155119E+02    0.34199958E+02    0.45355077E+02    0.13865064E+03    0.32617346E+00    0.32711769E+00    0.10395541E+03    0.10339718E+03    0.10536185E+03
    0.13700000E+06    0.11156907E+02    0.34204464E+02    0.45361371E+02    0.13866634E+03    0.32618278E+00    0.32712605E+00    0.10396910E+03    0.10341153E+03    0.10537378E+03
    0.13733333E+06    0.11158689E+02    0.34208953E+02    0.45367642E+02    0.13868181E+03    0.32619207E+00    0.32713477E+00    0.10398275E+03    0.10342582E+03    0.10538554E+03
    0.13766667E+06    0.11160465E+02    0.34213425E+02    0.45373890E+02    0.13869740E+03    0.32620133E+00    0.32714305E+00    0.10399634E+03    0.10344007E+03    0.10539738E+03
    0.13800000E+06    0.11162234E+02    0.34217882E+02    0.45380116E+02    0.13871310E+03    0.32621055E+00    0.32715091E+00    0.10400989E+03    0.10345426E+03    0.10540931E+03
    0.13833333E+06    0.11163997E+02    0.34222322E+02    0.45386319E+02    0.13872857E+03    0.32621975E+00    0.32715914E+00    0.10402338E+03    0.10346840E+03    0.10542107E+03
    0.13866667E+06    0.11165754E+02    0.34226746E+02    0.45392499E+02    0.13874416E+03    0.32622890E+00    0.32716692E+00    0.10403683E+03    0.10348249E+03    0.10543292E+03
    0.13900000E+06    0.11167504E+02    0.34231154E+02    0.45398659E+02    0.13875988E+03    0.32623802E+00    0.32717425E+00    0.10405023E+03    0.10349653E+03    0.10544486E+03
    0.13933333E+06    0.11169248E+02    0.34235548E+02    0.45404796E+02    0.13877535E+03    0.32624711E+00    0.32718201E+00    0.10406359E+03    0.10351052E+03    0.10545662E+03
    0.13966667E+06    0.11170987E+02    0.34239926E+02    0.45410912E+02    0.13879098E+03    0.32625616E+00    0.32718923E+00    0.10407689E+03    0.10352447E+03    0.10546849E+03
    0.14000000E+06    0.11172718E+02    0.34244289E+02    0.45417007E+02    0.13880678E+03    0.32626516E+00    0.32719590E+00    0.10409016E+03    0.10353836E+03    0.10548050E+03
    0.14033333E+06    0.11174444E+02    0.34248638E+02    0.45423082E+02    0.13882230E+03    0.32627412E+00    0.32720306E+00    0.10410338E+03    0.10355221E+03    0.10549230E+03
    0.14066667E+06    0.11176164E+02    0.34252972E+02    0.45429136E+02    0.13883801E+03    0.32628305E+00    0.32720966E+00    0.10411655E+03    0.10356601E+03    0.10550423E+03
    0.14100000E+06    0.11177878E+02    0.34257293E+02    0.45435170E+02    0.13885389E+03    0.32629192E+00    0.32721568E+00    0.10412968E+03    0.10357977E+03    0.10551630E+03
    0.14133333E+06    0.11179586E+02    0.34261599E+02    0.45441185E+02    0.13886948E+03    0.32630075E+00    0.32722227E+00    0.10414277E+03    0.10359348E+03    0.10552815E+03
    0.14166667E+06    0.11181288E+02    0.34265892E+02    0.45447180E+02    0.13888529E+03    0.32630954E+00    0.32722818E+00    0.10415582E+03    0.10360715E+03    0.10554016E+03
    0.14200000E+06    0.11182983E+02    0.34270172E+02    0.45453156E+02    0.13890133E+03    0.32631827E+00    0.32723341E+00    0.10416883E+03    0.10362077E+03    0.10555235E+03
    0.14233333E+06    0.11184674E+02    0.34274439E+02    0.45459113E+02    0.13891703E+03    0.32632696E+00    0.32723932E+00    0.10418180E+03    0.10363435E+03    0.10556428E+03
    0.14266667E+06    0.11186358E+02    0.34278694E+02    0.45465052E+02    0.13893300E+03    0.32633559E+00    0.32724444E+00    0.10419473E+03    0.10364789E+03    0.10557642E+03
    0.14300000E+06    0.11188036E+02    0.34282936E+02    0.45470972E+02    0.13894925E+03    0.32634417E+00    0.32724878E+00    0.10420763E+03    0.10366139E+03    0.10558877E+03
    0.14333333E+06    0.11189709E+02    0.34287166E+02    0.45476875E+02    0.13896511E+03    0.32635269E+00    0.32725391E+00    0.10422049E+03    0.10367484E+03    0.10560082E+03
    0.14366667E+06    0.11191376E+02    0.34291385E+02    0.45482761E+02    0.13898129E+03    0.32636116E+00    0.32725815E+00    0.10423331E+03    0.10368826E+03    0.10561312E+03
    0.14400000E+06    0.11193037E+02    0.34295592E+02    0.45488630E+02    0.13899781E+03    0.32636956E+00    0.32726149E+00    0.10424610E+03    0.10370164E+03    0.10562567E+03
    0.14433333E+06    0.11194693E+02    0.34299789E+02    0.45494482E+02    0.13901388E+03    0.32637790E+00    0.32726576E+00    0.10425886E+03    0.10371498E+03    0.10563788E+03
    0.14466667E+06    0.11196343E+02    0.34303975E+02    0.45500318E+02    0.13903033E+03    0.32638618E+00    0.32726900E+00    0.10427158E+03    0.10372829E+03    0.10565038E+03
    0.14500000E+06    0.11197988E+02    0.34308151E+02    0.45506139E+02    0.13904719E+03    0.32639438E+00    0.32727117E+00    0.10428427E+03    0.10374156E+03    0.10566320E+03
    0.14533333E+06    0.11199627E+02    0.34312317E+02    0.45511944E+02    0.13906352E+03    0.32640252E+00    0.32727450E+00    0.10429694E+03    0.10375479E+03    0.10567560E+03
    0.14566667E+06    0.11201260E+02    0.34316474E+02    0.45517734E+02    0.13908033E+03    0.32641059E+00    0.32727657E+00    0.10430957E+03    0.10376799E+03    0.10568838E+03
    0.14600000E+06    0.11202889E+02    0.34320622E+02    0.45523510E+02    0.13909765E+03    0.32641858E+00    0.32727736E+00    0.10432218E+03    0.10378116E+03    0.10570154E+03
    0.14633333E+06    0.11204511E+02    0.34324761E+02    0.45529272E+02    0.13911421E+03    0.32642649E+00    0.32727980E+00    0.10433476E+03    0.10379429E+03    0.10571413E+03
    0.14666667E+06    0.11206129E+02    0.34328892E+02    0.45535021E+02    0.13913157E+03    0.32643433E+00    0.32728028E+00    0.10434732E+03    0.10380740E+03    0.10572732E+03
    0.14700000E+06    0.11207741E+02    0.34333016E+02    0.45540757E+02    0.13914975E+03    0.32644207E+00    0.32727876E+00    0.10435986E+03    0.10382048E+03    0.10574113E+03
    0.14733333E+06    0.11209348E+02    0.34337134E+02    0.45546482E+02    0.13916694E+03    0.32644972E+00    0.32727946E+00    0.10437237E+03    0.10383353E+03    0.10575420E+03
    0.14766667E+06    0.11210950E+02    0.34341245E+02    0.45552194E+02    0.13918505E+03    0.32645728E+00    0.32727793E+00    0.10438487E+03    0.10384655E+03    0.10576795E+03
    0.14800000E+06    0.11212546E+02    0.34345352E+02    0.45557898E+02    0.13920408E+03    0.32646473E+00    0.32727416E+00    0.10439735E+03    0.10385955E+03    0.10578241E+03
    0.14833333E+06    0.11214137E+02    0.34349455E+02    0.45563592E+02    0.13922262E+03    0.32647207E+00    0.32727147E+00    0.10440982E+03    0.10387253E+03    0.10579651E+03
    0.14866667E+06    0.11215724E+02    0.34353553E+02    0.45569277E+02    0.13924091E+03    0.32647930E+00    0.32726931E+00    0.10442228E+03    0.10388549E+03    0.10581040E+03
    0.14900000E+06    0.11217305E+02    0.34357646E+02    0.45574951E+02    0.13925894E+03    0.32648643E+00    0.32726769E+00    0.10443472E+03    0.10389843E+03    0.10582410E+03
    0.14933333E+06    0.11218881E+02    0.34361733E+02    0.45580614E+02    0.13927664E+03    0.32649347E+00    0.32726675E+00    0.10444714E+03    0.10391134E+03    0.10583756E+03
    0.14966667E+06    0.11220453E+02    0.34365815E+02    0.45586267E+02    0.13929496E+03    0.32650042E+00    0.32726429E+00    0.10445955E+03    0.10392423E+03    0.10585148E+03
    0.15000000E+06    0.11222019E+02    0.34369892E+02    0.45591912E+02    0.13931391E+03    0.32650726E+00    0.32726030E+00    0.10447195E+03    0.10393710E+03    0.10586588E+03
    0.15033333E+06    0.11223581E+02    0.34373970E+02    0.45597551E+02    0.13933471E+03    0.32651396E+00    0.32725191E+00    0.10448434E+03    0.10394995E+03    0.10588168E+03
    0.15066667E+06    0.11225138E+02    0.34378044E+02    0.45603181E+02    0.13935090E+03    0.32652055E+00    0.32725431E+00    0.10449672E+03    0.10396279E+03    0.10589398E+03
    0.15100000E+06    0.11226690E+02    0.34382103E+02    0.45608793E+02    0.13936236E+03    0.32652715E+00    0.32726766E+00    0.10450906E+03    0.10397558E+03    0.10590269E+03
    0.15133333E+06    0.11228237E+02    0.34386103E+02    0.45614340E+02    0.13934774E+03    0.32653416E+00    0.32734181E+00    0.10452122E+03    0.10398823E+03    0.10589158E+03
    0.15166667E+06    0.11229780E+02    0.34390088E+02    0.45619868E+02    0.13938915E+03    0.32654118E+00    0.32728421E+00    0.10453333E+03    0.10400083E+03    0.10592305E+03
    0.15200000E+06    0.11231318E+02    0.34394183E+02    0.45625501E+02    0.13948784E+03    0.32654701E+00    0.32709304E+00    0.10454578E+03    0.10401367E+03    0.10599804E+03
    0.15233333E+06    0.11232851E+02    0.34398364E+02    0.45631215E+02    0.13950770E+03    0.32655190E+00    0.32708742E+00    0.10455849E+03    0.10402670E+03    0.10601314E+03
    0.15266667E+06    0.11234380E+02    0.34402597E+02    0.45636978E+02    0.13957815E+03    0.32655617E+00    0.32696363E+00    0.10457136E+03    0.10403983E+03    0.10606667E+03
    0.15300000E+06    0.11235906E+02    0.34406994E+02    0.45642899E+02    0.13970026E+03    0.32655878E+00    0.32672023E+00    0.10458472E+03    0.10405333E+03    0.10615947E+03
    0.15333333E+06    0.11237427E+02    0.34411510E+02    0.45648937E+02    0.13972502E+03    0.32656013E+00    0.32670554E+00    0.10459845E+03    0.10406710E+03    0.10617828E+03
    0.15366667E+06    0.11238945E+02    0.34416031E+02    0.45654976E+02    0.13975152E+03    0.32656133E+00    0.32668680E+00    0.10461219E+03    0.10408087E+03    0.10619842E+03
    0.15400000E+06    0.11240460E+02    0.34420563E+02    0.45661023E+02    0.13977981E+03    0.32656233E+00    0.32666394E+00    0.10462597E+03    0.10409465E+03    0.10621992E+03
    0.15433333E+06    0.11241972E+02    0.34425584E+02    0.45667556E+02    0.14021579E+03    0.32655864E+00    0.32569481E+00    0.10464123E+03    0.10410954E+03    0.10655123E+03
    0.15466667E+06    0.11243483E+02    0.34431284E+02    0.45674767E+02    0.14046121E+03    0.32654848E+00    0.32517709E+00    0.10465855E+03    0.10412598E+03    0.10673772E+03
    0.15500000E+06    0.11244994E+02    0.34437238E+02    0.45682232E+02    0.14051181E+03    0.32653587E+00    0.32511311E+00    0.10467665E+03    0.10414300E+03    0.10677617E+03
    0.15533333E+06    0.11246504E+02    0.34443649E+02    0.45690153E+02    0.14093796E+03    0.32651896E+00    0.32418628E+00    0.10469614E+03    0.10416106E+03    0.10710001E+03
    0.15566667E+06    0.11248016E+02    0.34450635E+02    0.45698651E+02    0.14111452E+03    0.32649664E+00    0.32384089E+00    0.10471737E+03    0.10418043E+03    0.10723417E+03
    0.15600000E+06    0.11249530E+02    0.34457651E+02    0.45707181E+02    0.14103603E+03    0.32647410E+00    0.32408160E+00    0.10473870E+03    0.10419988E+03    0.10717453E+03
    0.15633333E+06    0.11251046E+02    0.34464405E+02    0.45715451E+02    0.14100634E+03    0.32645410E+00    0.32420849E+00    0.10475923E+03    0.10421873E+03    0.10715197E+03
    0.15666667E+06    0.11252564E+02    0.34471189E+02    0.45723752E+02    0.14113173E+03    0.32643387E+00    0.32397926E+00    0.10477985E+03    0.10423766E+03    0.10724725E+03
    0.15700000E+06    0.11254083E+02    0.34478333E+02    0.45732416E+02    0.14141551E+03    0.32641029E+00    0.32339039E+00    0.10480157E+03    0.10425741E+03    0.10746290E+03
    0.15733333E+06    0.11255605E+02    0.34487073E+02    0.45742678E+02    0.14245114E+03    0.32637172E+00    0.32111134E+00    0.10482813E+03    0.10428080E+03    0.10824989E+03
    0.15766667E+06    0.11257134E+02    0.34496394E+02    0.45753528E+02    0.14205438E+03    0.32632783E+00    0.32208460E+00    0.10485646E+03    0.10430554E+03    0.10794838E+03
    0.15800000E+06    0.11258667E+02    0.34503249E+02    0.45761916E+02    0.14019475E+03    0.32630743E+00    0.32641677E+00    0.10487730E+03    0.10432466E+03    0.10653523E+03
    0.15833333E+06    0.11260200E+02    0.34507420E+02    0.45767621E+02    0.13982451E+03    0.32631243E+00    0.32732188E+00    0.10488998E+03    0.10433766E+03    0.10625389E+03
    0.15866667E+06    0.11261729E+02    0.34510906E+02    0.45772635E+02    0.13958167E+03    0.32632377E+00    0.32792727E+00    0.10490058E+03    0.10434910E+03    0.10606935E+03
    0.15900000E+06    0.11263251E+02    0.34513981E+02    0.45777232E+02    0.13946900E+03    0.32633880E+00    0.32822514E+00    0.10490992E+03    0.10435958E+03    0.10598373E+03
    0.15933333E+06    0.11264765E+02    0.34515751E+02    0.45780516E+02    0.13844395E+03    0.32636593E+00    0.33067907E+00    0.10491530E+03    0.10436706E+03    0.10520479E+03
    0.15966667E+06    0.11266268E+02    0.34516014E+02    0.45782282E+02    0.13804036E+03    0.32640699E+00    0.33165867E+00    0.10491610E+03    0.10437109E+03    0.10489809E+03
    0.16000000E+06    0.11267759E+02    0.34516093E+02    0.45783853E+02    0.13827149E+03    0.32644944E+00    0.33111563E+00    0.10491634E+03    0.10437467E+03    0.10507373E+03
    0.16033333E+06    0.11269238E+02    0.34516397E+02    0.45785635E+02    0.13815664E+03    0.32648942E+00    0.33140380E+00    0.10491727E+03    0.10437873E+03    0.10498646E+03
    0.16066667E+06    0.11270706E+02    0.34516500E+02    0.45787206E+02    0.13808148E+03    0.32653096E+00    0.33159557E+00    0.10491758E+03    0.10438231E+03    0.10492934E+03
    0.16100000E+06    0.11272161E+02    0.34516489E+02    0.45788651E+02    0.13804685E+03    0.32657322E+00    0.33168921E+00    0.10491755E+03    0.10438561E+03    0.10490303E+03
    0.16133333E+06    0.11273604E+02    0.34516369E+02    0.45789974E+02    0.13797348E+03    0.32661617E+00    0.33187519E+00    0.10491718E+03    0.10438862E+03    0.10484727E+03
    0.16166667E+06    0.11275035E+02    0.34516130E+02    0.45791165E+02    0.13792941E+03    0.32665989E+00    0.33198987E+00    0.10491645E+03    0.10439134E+03    0.10481378E+03
    0.16200000E+06    0.11276454E+02    0.34515833E+02    0.45792287E+02    0.13791526E+03    0.32670380E+00    0.33203205E+00    0.10491555E+03    0.10439390E+03    0.10480303E+03
    0.16233333E+06    0.11277860E+02    0.34515490E+02    0.45793350E+02    0.13787821E+03    0.32674780E+00    0.33212898E+00    0.10491451E+03    0.10439632E+03    0.10477488E+03
    0.16266667E+06    0.11279254E+02    0.34515089E+02    0.45794343E+02    0.13785560E+03    0.32679199E+00    0.33219066E+00    0.10491329E+03    0.10439858E+03    0.10475769E+03
    0.16300000E+06    0.11280636E+02    0.34514661E+02    0.45795297E+02    0.13784774E+03    0.32683608E+00    0.33221653E+00    0.10491199E+03    0.10440076E+03    0.10475172E+03
    0.16333333E+06    0.11282006E+02    0.34514193E+02    0.45796199E+02    0.13781574E+03    0.32688019E+00    0.33230020E+00    0.10491057E+03    0.10440282E+03    0.10472741E+03
    0.16366667E+06    0.11283364E+02    0.34513699E+02    0.45797063E+02    0.13781679E+03    0.32692420E+00    0.33230394E+00    0.10490907E+03    0.10440478E+03    0.10472820E+03
    0.16400000E+06    0.11284709E+02    0.34513247E+02    0.45797956E+02    0.13785156E+03    0.32696748E+00    0.33222661E+00    0.10490769E+03    0.10440682E+03    0.10475462E+03
    0.16433333E+06    0.11286043E+02    0.34512872E+02    0.45798915E+02    0.13787995E+03    0.32700968E+00    0.33216515E+00    0.10490655E+03    0.10440901E+03    0.10477620E+03
    0.16466667E+06    0.11287365E+02    0.34512536E+02    0.45799901E+02    0.13788628E+03    0.32705118E+00    0.33215706E+00    0.10490553E+03    0.10441125E+03    0.10478101E+03
    0.16500000E+06    0.11288676E+02    0.34512193E+02    0.45800870E+02    0.13787009E+03    0.32709241E+00    0.33220310E+00    0.10490449E+03    0.10441346E+03    0.10476870E+03
    0.16533333E+06    0.11289976E+02    0.34511844E+02    0.45801820E+02    0.13787657E+03    0.32713338E+00    0.33219437E+00    0.10490343E+03    0.10441563E+03    0.10477363E+03
    0.16566667E+06    0.11291265E+02    0.34511489E+02    0.45802754E+02    0.13786015E+03    0.32717408E+00    0.33224071E+00    0.10490235E+03    0.10441776E+03    0.10476115E+03
    0.16600000E+06    0.11292542E+02    0.34511081E+02    0.45803623E+02    0.13782036E+03    0.32721497E+00    0.33234294E+00    0.10490111E+03    0.10441974E+03    0.10473091E+03
    0.16633333E+06    0.11293809E+02    0.34510592E+02    0.45804401E+02    0.13778170E+03    0.32725631E+00    0.33244184E+00    0.10489962E+03    0.10442151E+03    0.10470153E+03
    0.16666667E+06    0.11295064E+02    0.34510049E+02    0.45805113E+02    0.13776224E+03    0.32729782E+00    0.33249395E+00    0.10489797E+03    0.10442314E+03    0.10468675E+03
